survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,alive,alone,age_group,age_zscore,fare_zscore
0,2,male,66.0,0,0,10.5,S,Second,man,True,no,True,Senior,2.8140761472416074,-0.43676213497987365
0,1,male,28.0,1,0,82.1708,C,First,man,True,no,False,Young Adult,-0.10457866558193422,1.0054969729792393
0,1,male,42.0,1,0,52.0,S,First,man,True,no,False,Adult,0.970715212826739,0.39835834616870003
1,3,male,28.0,0,0,7.2292,C,Third,man,True,yes,True,Young Adult,-0.10457866558193422,-0.502581702925434
0,3,male,21.0,0,0,8.05,S,Third,man,True,no,True,Young Adult,-0.6422256047862709,-0.48606442844527137
0,3,female,18.0,2,0,18.0,S,Third,woman,False,no,False,Teen,-0.8726457215881294,-0.28583674682049287
1,3,female,14.0,1,0,11.2417,C,Third,child,False,yes,False,Teen,-1.1798725439906075,-0.4218366202601652
0,3,female,40.0,1,0,9.475,S,Third,woman,False,no,False,Adult,0.8171018016255001,-0.457388604694989
0,2,female,27.0,1,0,21.0,S,Second,woman,False,no,False,Young Adult,-0.18138537118255374,-0.22546659155674054
0,3,male,28.0,0,0,7.8958,C,Third,man,True,no,True,Young Adult,-0.10457866558193422,-0.4891674544258282
1,2,female,3.0,1,2,41.5792,C,Second,child,False,yes,False,Child,-2.0247463055974224,0.18865657484452997
1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,yes,True,Young Adult,-0.79583901598751,-0.4895015026182876
0,3,male,28.0,0,0,8.05,S,Third,man,True,no,True,Young Adult,-0.10457866558193422,-0.48606442844527137
0,3,male,28.0,1,0,15.5,Q,Third,man,True,no,False,Young Adult,-0.10457866558193422,-0.3361452095402864
1,3,female,28.0,0,0,7.75,Q,Third,woman,False,yes,True,Young Adult,-0.10457866558193422,-0.49210144397164657
0,3,male,28.0,2,0,21.6792,C,Third,man,True,no,False,Young Adult,-0.10457866558193422,-0.211798788405027
0,3,female,18.0,1,0,17.8,S,Third,woman,False,no,False,Teen,-0.8726457215881294,-0.28986142383807634
0,3,male,7.0,4,1,39.6875,S,Third,child,False,no,False,Child,-1.717519483194944,0.15058916727371655
0,3,male,21.0,0,0,7.8,S,Third,man,True,no,True,Young Adult,-0.6422256047862709,-0.49109527471725073
1,1,female,49.0,1,0,76.7292,C,First,woman,False,yes,False,Adult,1.5083621520310757,0.895993560684828
1,2,female,29.0,1,0,26.0,S,Second,woman,False,yes,False,Young Adult,-0.027771959981314702,-0.12484966611715337
0,1,male,65.0,0,1,61.9792,C,First,man,True,no,False,Senior,2.737269441640988,0.5991736306380456
1,1,male,28.0,0,0,35.5,S,First,man,True,yes,True,Young Adult,-0.10457866558193422,0.06632249221806229
1,2,female,21.0,0,0,10.5,S,Second,woman,False,yes,True,Young Adult,-0.6422256047862709,-0.43676213497987365
0,3,male,28.5,0,0,7.2292,C,Third,man,True,no,True,Young Adult,-0.06617531278162446,-0.502581702925434
1,2,female,5.0,1,2,27.75,S,Second,child,False,yes,False,Child,-1.8711328943961831,-0.08963374221329785
0,3,male,11.0,5,2,46.9,S,Third,child,False,no,False,Child,-1.410292660792466,0.29572908222032107
0,3,male,22.0,0,0,7.2292,C,Third,man,True,no,True,Young Adult,-0.5654188991856514,-0.502581702925434
1,1,female,38.0,0,0,80.0,S,First,woman,False,yes,True,Adult,0.663488390424261,0.9618131286303883
0,1,male,45.0,1,0,83.475,S,First,man,True,no,False,Adult,1.2011353296285976,1.0317418918109011
0,3,male,4.0,3,2,27.9,S,Third,child,False,no,False,Child,-1.9479395999968028,-0.08661523445011025
0,1,male,28.0,0,0,27.7208,C,First,man,True,no,True,Young Adult,-0.10457866558193422,-0.09022134505786503
1,3,male,28.0,1,1,15.2458,C,Third,man,True,yes,False,Young Adult,-0.10457866558193422,-0.34126057402963506
1,2,female,29.0,0,0,10.5,S,Second,woman,False,yes,True,Young Adult,-0.027771959981314702,-0.43676213497987365
0,3,male,19.0,0,0,8.1583,S,Third,man,True,no,True,Young Adult,-0.79583901598751,-0.4838850658402499
1,3,female,17.0,4,2,7.925,S,Third,woman,False,yes,False,Teen,-0.9494524271887489,-0.48857985158126105
0,3,male,26.0,2,0,8.6625,S,Third,man,True,no,False,Young Adult,-0.25819207678317324,-0.4737388550789219
0,2,male,32.0,0,0,10.5,S,Second,man,True,no,True,Young Adult,0.20264815682054385,-0.43676213497987365
0,3,female,16.0,5,2,46.9,S,Third,woman,False,no,False,Teen,-1.0262591327893684,0.29572908222032107
0,2,male,21.0,0,0,73.5,S,Second,man,True,no,True,Young Adult,-0.6422256047862709,0.8310111255589249
0,3,male,26.0,1,0,14.4542,C,Third,man,True,no,False,Young Adult,-0.25819207678317324,-0.3571902456652305
1,3,male,32.0,0,0,56.4958,S,Third,man,True,yes,True,Young Adult,0.20264815682054385,0.48882906084695926
0,3,male,25.0,0,0,7.65,S,Third,man,True,no,True,Young Adult,-0.33499878238379277,-0.49411378248043836
0,3,male,28.0,0,0,7.8958,S,Third,man,True,no,True,Young Adult,-0.10457866558193422,-0.4891674544258282
0,3,male,28.0,0,0,8.05,S,Third,man,True,no,True,Young Adult,-0.10457866558193422,-0.48606442844527137
1,2,male,0.83,0,2,29.0,S,Second,child,False,yes,False,Child,-2.1914168567507666,-0.06447951085340105
1,3,female,30.0,0,0,12.475,S,Third,woman,False,yes,True,Young Adult,0.04903474561930482,-0.39701844943123665
0,3,male,22.0,0,0,9.0,S,Third,man,True,no,True,Young Adult,-0.5654188991856514,-0.4669472126117498
1,3,male,29.0,0,0,9.5,S,Third,man,True,yes,True,Young Adult,-0.027771959981314702,-0.4568855200677911
1,3,female,28.0,0,0,7.7875,Q,Third,woman,False,yes,True,Young Adult,-0.10457866558193422,-0.49134681703084965
0,1,male,28.0,0,0,47.1,S,First,man,True,no,True,Young Adult,-0.10457866558193422,0.2997537592379046
1,2,female,17.0,0,0,10.5,S,Second,woman,False,yes,True,Teen,-0.9494524271887489,-0.43676213497987365
1,3,female,33.0,3,0,15.85,S,Third,woman,False,yes,False,Young Adult,0.27945486242116335,-0.32910202475951533
0,3,male,16.0,1,3,34.375,S,Third,man,True,no,False,Teen,-1.0262591327893684,0.043683683994155176
0,3,male,28.0,0,0,8.05,S,Third,man,True,no,True,Young Adult,-0.10457866558193422,-0.48606442844527137
1,1,female,23.0,3,2,263.0,S,First,woman,False,yes,False,Young Adult,-0.48861219358503183,4.644392599719279
0,3,male,24.0,0,0,8.05,S,Third,man,True,no,True,Young Adult,-0.4118054879844123,-0.48606442844527137
0,3,male,29.0,0,0,8.05,S,Third,man,True,no,True,Young Adult,-0.027771959981314702,-0.48606442844527137
0,3,male,20.0,0,0,7.8542,S,Third,man,True,no,True,Young Adult,-0.7190323103868904,-0.4900045872454856
0,1,male,46.0,1,0,61.175,S,First,man,True,no,False,Adult,1.2779420352292172,0.5829904043503424
0,3,male,26.0,1,2,20.575,S,Third,man,True,no,False,Young Adult,-0.25819207678317324,-0.23401903021910547
0,3,male,59.0,0,0,7.25,S,Third,man,True,no,True,Adult,2.276429208037271,-0.5021631365156053
0,3,male,28.0,0,0,8.05,S,Third,man,True,no,True,Young Adult,-0.10457866558193422,-0.48606442844527137
0,1,male,71.0,0,0,34.6542,C,First,man,True,no,True,Senior,3.198109675244705,0.04930213311070178
1,1,male,23.0,0,1,63.3583,C,First,man,True,yes,False,Young Adult,-0.48861219358503183,0.6269257910127927
1,2,female,34.0,0,1,23.0,S,Second,woman,False,yes,False,Young Adult,0.3562615680217829,-0.18521982138090567
0,2,male,34.0,1,0,26.0,S,Second,man,True,no,False,Young Adult,0.3562615680217829,-0.12484966611715337
0,3,female,28.0,0,0,7.8958,S,Third,woman,False,no,True,Young Adult,-0.10457866558193422,-0.4891674544258282
0,3,male,28.0,0,0,7.8958,S,Third,man,True,no,True,Young Adult,-0.10457866558193422,-0.4891674544258282
0,1,male,21.0,0,1,77.2875,S,First,man,True,no,False,Young Adult,-0.6422256047862709,0.907228446579412
0,3,male,33.0,0,0,8.6542,S,Third,man,True,no,True,Young Adult,0.27945486242116335,-0.47390587917515165
0,3,male,37.0,2,0,7.925,S,Third,man,True,no,False,Adult,0.5866816848236415,-0.48857985158126105
0,3,male,28.0,0,0,7.8958,S,Third,man,True,no,True,Young Adult,-0.10457866558193422,-0.4891674544258282
1,3,female,21.0,0,0,7.65,S,Third,woman,False,yes,True,Young Adult,-0.6422256047862709,-0.49411378248043836
1,3,male,28.0,0,0,7.775,S,Third,man,True,yes,True,Young Adult,-0.10457866558193422,-0.4915983593444487
0,3,male,38.0,0,0,7.8958,S,Third,man,True,no,True,Adult,0.663488390424261,-0.4891674544258282
1,3,female,28.0,1,0,24.15,Q,Third,woman,False,yes,False,Young Adult,-0.10457866558193422,-0.16207792852980066
0,1,male,47.0,0,0,52.0,S,First,man,True,no,True,Adult,1.3547487408298367,0.39835834616870003
0,3,female,14.5,1,0,14.4542,C,Third,child,False,no,False,Teen,-1.1414691911902977,-0.3571902456652305
0,3,male,22.0,0,0,8.05,S,Third,man,True,no,True,Young Adult,-0.5654188991856514,-0.48606442844527137
0,3,female,20.0,1,0,9.825,S,Third,woman,False,no,False,Young Adult,-0.7190323103868904,-0.45034541991421795
0,3,female,17.0,0,0,14.4583,C,Third,woman,False,no,True,Teen,-0.9494524271887489,-0.35710773978637
0,3,male,21.0,0,0,7.925,S,Third,man,True,no,True,Young Adult,-0.6422256047862709,-0.48857985158126105
0,3,male,70.5,0,0,7.75,Q,Third,man,True,no,True,Senior,3.1597063224443955,-0.49210144397164657
0,2,male,29.0,1,0,21.0,S,Second,man,True,no,False,Young Adult,-0.027771959981314702,-0.22546659155674054
0,1,male,24.0,0,1,247.5208,C,First,man,True,no,False,Young Adult,-0.4118054879844123,4.332898697266388
0,3,female,2.0,4,2,31.275,S,Third,child,False,no,False,Child,-2.1015530111980416,-0.01869880977838891
0,2,male,21.0,2,0,73.5,S,Second,man,True,no,False,Young Adult,-0.6422256047862709,0.8310111255589249
0,3,male,28.0,0,0,8.05,S,Third,man,True,no,True,Young Adult,-0.10457866558193422,-0.48606442844527137
0,2,male,32.5,1,0,30.0708,C,Second,man,True,no,False,Young Adult,0.24105150962085362,-0.04293139010125909
1,2,female,32.5,0,0,13.0,S,Second,woman,False,yes,True,Young Adult,0.24105150962085362,-0.38645367226008004
0,1,male,54.0,0,1,77.2875,S,First,man,True,no,False,Adult,1.8923956800341732,0.907228446579412
1,3,male,12.0,1,0,11.2417,C,Third,child,False,yes,False,Child,-1.3334859551918465,-0.4218366202601652
0,3,male,28.0,0,0,7.75,Q,Third,man,True,no,True,Young Adult,-0.10457866558193422,-0.49210144397164657
1,3,male,24.0,0,0,7.1417,S,Third,man,True,yes,True,Young Adult,-0.4118054879844123,-0.5043424991206268
1,3,female,28.0,1,1,22.3583,C,Third,woman,False,yes,False,Young Adult,-0.10457866558193422,-0.1981329975918223
0,3,male,45.0,0,0,6.975,S,Third,man,True,no,True,Adult,1.2011353296285976,-0.5076970674147826
0,3,male,33.0,0,0,7.8958,C,Third,man,True,no,True,Young Adult,0.27945486242116335,-0.4891674544258282
0,3,male,20.0,0,0,7.05,S,Third,man,True,no,True,Young Adult,-0.7190323103868904,-0.5061878135331888
0,3,female,47.0,1,0,14.5,S,Third,woman,False,no,False,Adult,1.3547487408298367,-0.35626859462820387
1,2,female,29.0,1,0,26.0,S,Second,woman,False,yes,False,Young Adult,-0.027771959981314702,-0.12484966611715337
0,2,male,25.0,0,0,13.0,S,Second,man,True,no,True,Young Adult,-0.33499878238379277,-0.38645367226008004
0,2,male,23.0,0,0,15.0458,C,Second,man,True,no,True,Young Adult,-0.48861219358503183,-0.3452852510472186
1,1,female,19.0,0,2,26.2833,S,First,woman,False,yes,False,Young Adult,-0.79583901598751,-0.11914871112174634
0,1,male,37.0,1,0,53.1,S,First,man,True,no,False,Adult,0.5866816848236415,0.4204940697654092
0,3,male,16.0,0,0,9.2167,S,Third,man,True,no,True,Teen,-1.0262591327893684,-0.4625864750631981
0,1,male,24.0,0,0,79.2,C,First,man,True,no,True,Young Adult,-0.4118054879844123,0.9457144205600544
0,3,female,28.0,0,2,15.2458,C,Third,woman,False,no,False,Young Adult,-0.10457866558193422,-0.34126057402963506
1,3,female,22.0,0,0,7.75,S,Third,woman,False,yes,True,Young Adult,-0.5654188991856514,-0.49210144397164657
1,3,female,24.0,1,0,15.85,S,Third,woman,False,yes,False,Young Adult,-0.4118054879844123,-0.32910202475951533
0,3,male,19.0,0,0,6.75,Q,Third,man,True,no,True,Young Adult,-0.79583901598751,-0.512224829059564
0,2,male,18.0,0,0,11.5,S,Second,man,True,no,True,Teen,-0.8726457215881294,-0.4166387498919562
0,2,male,19.0,1,1,36.75,S,Second,man,True,no,False,Young Adult,-0.79583901598751,0.0914767235779591
1,3,male,27.0,0,0,7.7958,S,Third,man,True,yes,True,Young Adult,-0.18138537118255374,-0.49117979293462
0,3,female,9.0,2,2,34.375,S,Third,child,False,no,False,Child,-1.563906071993705,0.043683683994155176
0,2,male,36.5,0,2,26.0,S,Second,man,True,no,False,Adult,0.5482783320233316,-0.12484966611715337
0,2,male,42.0,0,0,13.0,S,Second,man,True,no,True,Adult,0.970715212826739,-0.38645367226008004
0,2,male,51.0,0,0,12.525,S,Second,man,True,no,True,Adult,1.6619755632323148,-0.39601228017684087
1,1,female,22.0,1,0,66.6,S,First,woman,False,yes,False,Young Adult,-0.5654188991856514,0.6921597684522944
0,3,male,55.5,0,0,8.05,S,Third,man,True,no,True,Adult,2.0076057384351027,-0.48606442844527137
0,3,male,40.5,0,2,14.5,S,Third,man,True,no,False,Adult,0.8555051544258098,-0.35626859462820387
0,3,male,28.0,0,0,7.3125,S,Third,man,True,no,True,Young Adult,-0.10457866558193422,-0.5009054249476105
0,1,male,51.0,0,1,61.3792,C,First,man,True,no,False,Adult,1.6619755632323148,0.5870995995852952
1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,yes,True,Teen,-1.0262591327893684,-0.4924375045026148
0,3,male,30.0,0,0,8.05,S,Third,man,True,no,True,Young Adult,0.04903474561930482,-0.48606442844527137
0,3,male,28.0,0,0,8.6625,S,Third,man,True,no,True,Young Adult,-0.10457866558193422,-0.4737388550789219
0,3,male,28.0,8,2,69.55,S,Third,man,True,no,False,Young Adult,-0.10457866558193422,0.751523754461651
0,3,male,44.0,0,1,16.1,S,Third,man,True,no,False,Adult,1.1243286240279782,-0.32407117848753597
1,2,female,40.0,0,0,15.75,S,Second,woman,False,yes,True,Adult,0.8171018016255001,-0.33111436326830707
0,3,male,26.0,0,0,7.775,S,Third,man,True,no,True,Young Adult,-0.25819207678317324,-0.4915983593444487
0,3,male,17.0,0,0,8.6625,S,Third,man,True,no,True,Teen,-0.9494524271887489,-0.4737388550789219
0,3,male,1.0,4,1,39.6875,S,Third,child,False,no,False,Child,-2.1783597167986612,0.15058916727371655
1,3,male,9.0,0,2,20.525,S,Third,child,False,yes,False,Child,-1.563906071993705,-0.23502519947350137
1,1,female,28.0,0,1,55.0,S,First,woman,False,yes,False,Young Adult,-0.10457866558193422,0.4587285014324523
0,3,female,45.0,1,4,27.9,S,Third,woman,False,no,False,Adult,1.2011353296285976,-0.08661523445011025
0,1,male,28.0,0,0,25.925,S,First,man,True,no,True,Young Adult,-0.10457866558193422,-0.12635891999874715
0,3,male,28.0,0,0,56.4958,S,Third,man,True,no,True,Young Adult,-0.10457866558193422,0.48882906084695926
0,1,male,61.0,0,0,33.5,S,First,man,True,no,True,Senior,2.43004261923851,0.026075722042227415
0,3,male,4.0,4,1,29.125,Q,Third,child,False,no,False,Child,-1.9479395999968028,-0.061964087717411374
1,3,female,1.0,1,1,11.1333,S,Third,child,False,yes,False,Child,-2.1783597167986612,-0.42401799520369554
0,3,male,21.0,0,0,7.925,S,Third,man,True,no,True,Young Adult,-0.6422256047862709,-0.48857985158126105
0,1,male,56.0,0,0,30.6958,C,First,man,True,no,True,Adult,2.0460090912354123,-0.03035427442131069
0,3,male,18.0,1,1,7.8542,S,Third,man,True,no,False,Teen,-0.8726457215881294,-0.4900045872454856
0,3,male,28.0,3,1,25.4667,S,Third,man,True,no,False,Young Adult,-0.10457866558193422,-0.13558146738453974
0,1,female,50.0,0,0,28.7125,C,First,woman,False,no,True,Adult,1.5851688576316951,-0.07026498406617734
0,2,male,30.0,0,0,13.0,S,Second,man,True,no,True,Young Adult,0.04903474561930482,-0.38645367226008004
0,3,male,36.0,0,0,0.0,S,Third,man,True,no,True,Adult,0.5098749792230219,-0.6480576784030068
0,3,female,28.0,8,2,69.55,S,Third,woman,False,no,False,Young Adult,-0.10457866558193422,0.751523754461651
0,2,male,28.0,0,0,15.05,C,Second,man,True,no,True,Young Adult,-0.10457866558193422,-0.3452007328298493
0,3,male,9.0,4,2,31.3875,S,Third,child,False,no,False,Child,-1.563906071993705,-0.016434928955998185
1,2,male,1.0,2,1,39.0,S,Second,child,False,yes,False,Child,-2.1783597167986612,0.13675434002577333
1,3,female,4.0,0,2,22.025,S,Third,child,False,yes,False,Child,-1.9479395999968028,-0.2048401218416252
0,1,male,28.0,0,0,50.0,S,First,man,True,no,True,Young Adult,-0.10457866558193422,0.35811157599286514
1,3,female,28.0,1,0,15.5,Q,Third,woman,False,yes,False,Young Adult,-0.10457866558193422,-0.3361452095402864
1,1,male,45.0,0,0,26.55,S,First,man,True,yes,True,Adult,1.2011353296285976,-0.11378180431879875
0,3,male,40.0,1,1,15.5,Q,Third,man,True,no,False,Adult,0.8171018016255001,-0.3361452095402864
0,3,male,36.0,0,0,7.8958,S,Third,man,True,no,True,Adult,0.5098749792230219,-0.4891674544258282
1,2,female,32.0,0,0,13.0,S,Second,woman,False,yes,True,Young Adult,0.20264815682054385,-0.38645367226008004
0,2,male,19.0,0,0,13.0,S,Second,man,True,no,True,Young Adult,-0.79583901598751,-0.38645367226008004
1,3,female,19.0,1,0,7.8542,S,Third,woman,False,yes,False,Young Adult,-0.79583901598751,-0.4900045872454856
1,2,male,3.0,1,1,26.0,S,Second,child,False,yes,False,Child,-2.0247463055974224,-0.12484966611715337
1,1,female,44.0,0,0,27.7208,C,First,woman,False,yes,True,Adult,1.1243286240279782,-0.09022134505786503
1,1,female,58.0,0,0,146.5208,C,First,woman,False,yes,True,Adult,2.1996225024366516,2.300436803386727
0,3,male,28.0,0,0,7.75,Q,Third,man,True,no,True,Young Adult,-0.10457866558193422,-0.49210144397164657
0,3,male,42.0,0,1,8.4042,S,Third,man,True,no,False,Adult,0.970715212826739,-0.478936725447131
1,3,female,28.0,0,0,7.75,Q,Third,woman,False,yes,True,Young Adult,-0.10457866558193422,-0.49210144397164657
0,2,female,24.0,0,0,13.0,S,Second,woman,False,no,True,Young Adult,-0.4118054879844123,-0.38645367226008004
0,3,male,28.0,0,0,9.5,S,Third,man,True,no,True,Young Adult,-0.10457866558193422,-0.4568855200677911
0,3,male,28.0,8,2,69.55,S,Third,man,True,no,False,Young Adult,-0.10457866558193422,0.751523754461651
0,3,male,34.0,0,0,6.4958,S,Third,man,True,no,True,Young Adult,0.3562615680217829,-0.5173401935489127
0,3,male,45.5,0,0,7.225,C,Third,man,True,no,True,Adult,1.2395386824289074,-0.5026662211428032
1,3,male,18.0,0,0,8.05,S,Third,man,True,yes,True,Teen,-0.8726457215881294,-0.48606442844527137
0,3,female,2.0,0,1,10.4625,S,Third,child,False,no,False,Child,-2.1015530111980416,-0.43751676192067057
0,3,male,32.0,1,0,15.85,S,Third,man,True,no,False,Young Adult,0.20264815682054385,-0.32910202475951533
1,3,male,26.0,0,0,18.7875,C,Third,man,True,yes,True,Young Adult,-0.25819207678317324,-0.26998958106375787
1,3,female,16.0,0,0,7.75,Q,Third,woman,False,yes,True,Teen,-1.0262591327893684,-0.49210144397164657
1,1,male,40.0,0,0,31.0,C,First,man,True,yes,True,Adult,0.8171018016255001,-0.024232740677566176
0,3,male,24.0,0,0,7.05,S,Third,man,True,no,True,Young Adult,-0.4118054879844123,-0.5061878135331888
1,2,female,35.0,0,0,21.0,S,Second,woman,False,yes,True,Young Adult,0.4330682736224024,-0.22546659155674054
0,3,male,22.0,0,0,7.25,S,Third,man,True,no,True,Young Adult,-0.5654188991856514,-0.5021631365156053
0,2,male,30.0,0,0,13.0,S,Second,man,True,no,True,Young Adult,0.04903474561930482,-0.38645367226008004
0,3,male,28.0,1,0,7.75,Q,Third,man,True,no,False,Young Adult,-0.10457866558193422,-0.49210144397164657
1,1,female,31.0,1,0,113.275,C,First,woman,False,yes,False,Young Adult,0.12584145121992435,1.6314187674308411
1,3,female,27.0,0,0,7.925,S,Third,woman,False,yes,True,Young Adult,-0.18138537118255374,-0.48857985158126105
0,2,male,42.0,1,0,27.0,S,Second,man,True,no,False,Adult,0.970715212826739,-0.10472628102923592
1,1,female,32.0,0,0,76.2917,C,First,woman,False,yes,True,Young Adult,0.20264815682054385,0.8871895797088641
0,2,male,30.0,0,0,10.5,S,Second,man,True,no,True,Young Adult,0.04903474561930482,-0.43676213497987365
1,3,male,16.0,0,0,8.05,S,Third,man,True,yes,True,Teen,-1.0262591327893684,-0.48606442844527137
0,2,male,27.0,0,0,13.0,S,Second,man,True,no,True,Young Adult,-0.18138537118255374,-0.38645367226008004
0,3,male,51.0,0,0,8.05,S,Third,man,True,no,True,Adult,1.6619755632323148,-0.48606442844527137
0,3,male,28.0,0,0,7.8958,S,Third,man,True,no,True,Young Adult,-0.10457866558193422,-0.4891674544258282
1,1,male,38.0,1,0,90.0,S,First,man,True,yes,False,Adult,0.663488390424261,1.1630469795095626
0,3,male,22.0,0,0,9.35,S,Third,man,True,no,True,Young Adult,-0.5654188991856514,-0.45990402783097867
1,2,male,19.0,0,0,10.5,S,Second,man,True,yes,True,Young Adult,-0.79583901598751,-0.43676213497987365
0,3,male,20.5,0,0,7.25,S,Third,man,True,no,True,Young Adult,-0.6806289575865806,-0.5021631365156053
0,2,male,18.0,0,0,13.0,S,Second,man,True,no,True,Teen,-0.8726457215881294,-0.38645367226008004
0,3,female,28.0,3,1,25.4667,S,Third,woman,False,no,False,Young Adult,-0.10457866558193422,-0.13558146738453974
1,1,female,35.0,1,0,83.475,S,First,woman,False,yes,False,Young Adult,0.4330682736224024,1.0317418918109011
0,3,male,29.0,0,0,7.775,S,Third,man,True,no,True,Young Adult,-0.027771959981314702,-0.4915983593444487
0,2,male,59.0,0,0,13.5,S,Second,man,True,no,True,Adult,2.276429208037271,-0.3763919797161213
1,3,female,5.0,4,2,31.3875,S,Third,child,False,yes,False,Child,-1.8711328943961831,-0.016434928955998185
0,2,male,24.0,0,0,10.5,S,Second,man,True,no,True,Young Adult,-0.4118054879844123,-0.43676213497987365
0,3,female,28.0,0,0,7.55,S,Third,woman,False,no,True,Young Adult,-0.10457866558193422,-0.4961261209892301
0,2,male,44.0,1,0,26.0,S,Second,man,True,no,False,Adult,1.1243286240279782,-0.12484966611715337
1,2,female,8.0,0,2,26.25,S,Second,child,False,yes,False,Child,-1.6407127775943247,-0.11981881984517401
0,2,male,19.0,0,0,10.5,S,Second,man,True,no,True,Young Adult,-0.79583901598751,-0.43676213497987365
0,2,male,33.0,0,0,12.275,S,Second,man,True,no,True,Young Adult,0.27945486242116335,-0.40104312644882023
0,3,female,28.0,1,0,14.4542,C,Third,woman,False,no,False,Young Adult,-0.10457866558193422,-0.3571902456652305
1,3,female,28.0,1,0,15.5,Q,Third,woman,False,yes,False,Young Adult,-0.10457866558193422,-0.3361452095402864
0,2,male,29.0,0,0,10.5,S,Second,man,True,no,True,Young Adult,-0.027771959981314702,-0.43676213497987365
0,3,male,22.0,0,0,7.125,S,Third,man,True,no,True,Young Adult,-0.5654188991856514,-0.504678559651595
0,3,male,30.0,0,0,7.225,C,Third,man,True,no,True,Young Adult,0.04903474561930482,-0.5026662211428032
0,1,male,44.0,2,0,90.0,Q,First,man,True,no,False,Adult,1.1243286240279782,1.1630469795095626
